ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
18,35,Female,Married,Designer,9.6,47469,40,1.3,No,Medium,None,Large,Marketing,5.2,4,Yes,Medium,Medium,7,Medium,Medium,Medium,Excellent,27,No,Yes,No,Rarely,Pune
19,34,Male,Divorced,Designer,2.4,53452,48,1.8,Yes,Medium,None,Medium,Operations,5,5,Yes,Low,Medium,12,Low,High,High,Excellent,31,No,Yes,Yes,Rarely,Delhi
20,35,Female,Divorced,Analyst,7.8,59089,43,1.9,Partial,Low,None,Large,Marketing,5,4,Yes,High,High,9,Medium,High,Low,Good,31,No,No,Yes,Sometimes,Mumbai
21,32,Other,Single,Designer,10.2,50890,49,2.4,Yes,High,Hypertension,Large,HR,5,3,Yes,High,Medium,5,Medium,Low,High,Average,36,Yes,Yes,Yes,Rarely,Mumbai
22,27,Male,Divorced,Developer,3.9,96515,42,1.3,Partial,Low,None,Large,HR,6.5,5,No,Medium,High,16,Medium,Low,High,Excellent,27,No,No,Yes,Sometimes,Kolkata
23,26,Other,Single,Developer,1.7,86042,48,1.4,No,Medium,None,Medium,Engineering,6.5,5,No,Low,Medium,8,High,High,Medium,Excellent,28,No,No,No,Sometimes,Kolkata
24,32,Female,Single,Designer,10.1,51512,45,1,No,High,Diabetes,Small,HR,5.2,3,Yes,High,High,11,Medium,Low,High,Average,18,No,No,No,Rarely,Pune
25,23,Female,Single,Intern,2.7,15864,32,0.9,Partial,Medium,Migraine,Small,HR,7.2,4,Yes,High,High,8,Low,High,Medium,Average,24,No,Yes,No,Rarely,Pune
26,28,Other,Married,Designer,6.1,50054,45,0.9,Partial,Medium,None,Large,Operations,6.5,4,No,High,Medium,20,Medium,High,Medium,Poor,25,No,Yes,Yes,Rarely,Kolkata
27,29,Other,Single,Developer,3.3,95035,45,1.6,Partial,Medium,None,Small,Engineering,5.2,5,Yes,Medium,High,15,Low,Medium,High,Average,44,Yes,Yes,No,Sometimes,Mumbai
28,27,Female,Married,Developer,2.2,87904,47,2.9,Yes,Medium,Migraine,Medium,Marketing,5,5,No,Low,Medium,8,Low,Low,Medium,Good,32,Yes,No,No,Sometimes,Bangalore
29,31,Male,Divorced,Manager,9.9,240547,51,1.2,No,Medium,None,Medium,Engineering,5,4,No,Medium,Medium,18,Medium,Medium,Medium,Excellent,50,Yes,Yes,No,Often,Pune
30,45,Male,Divorced,Manager,24.9,257656,51,1.4,No,High,Hypertension,Medium,Operations,5,1,Yes,Low,High,20,High,High,Medium,Average,37,No,No,Yes,Often,Pune
31,58,Male,Divorced,CEO,15,542952,69,1.1,Partial,High,Diabetes,Large,Engineering,5,2,No,High,High,6,High,Medium,Low,Average,47,Yes,Yes,No,Often,Pune
32,26,Other,Married,Analyst,2.4,48146,44,1.1,Partial,Low,None,Medium,Operations,6.5,5,No,Medium,Medium,20,Low,Low,Low,Poor,9,No,No,No,Sometimes,Kolkata
33,43,Other,Divorced,Manager,21.5,205846,50,1.1,No,High,Diabetes,Large,Engineering,5,1,No,High,High,12,Medium,Medium,High,Average,48,No,Yes,Yes,Often,Hyderabad
34,51,Male,Single,CEO,23.8,554918,70,0.6,No,High,Back Pain,Large,HR,5,1,Yes,High,High,15,High,High,Low,Average,4,No,Yes,No,Often,Pune
35,30,Male,Single,Developer,5.5,117640,41,0.7,No,Medium,None,Medium,Engineering,5.5,4,No,Medium,Medium,12,High,Medium,High,Average,42,Yes,No,No,Sometimes,Kolkata
36,27,Male,Divorced,Designer,1.3,41993,46,0.9,Partial,Low,Migraine,Medium,Engineering,6.5,5,Yes,Medium,High,12,Low,Medium,Medium,Poor,22,No,Yes,No,Rarely,Kolkata
37,45,Female,Divorced,CEO,8.2,599642,64,0.6,No,Medium,Diabetes,Large,Engineering,5,4,No,Low,High,20,Low,Low,Low,Average,26,No,No,Yes,Often,Pune
38,22,Other,Divorced,Intern,1.4,16207,33,3,Yes,Medium,Migraine,Large,Engineering,6.2,3,Yes,High,High,10,High,Low,Medium,Average,7,No,No,Yes,Rarely,Mumbai
39,48,Female,Married,CEO,17,503538,65,2.9,Partial,High,Hypertension,Medium,Operations,5,2,Yes,High,Medium,19,Medium,Low,Medium,Average,12,Yes,Yes,Yes,Often,Mumbai
40,47,Other,Single,CEO,20.4,505054,67,3,Partial,High,Back Pain,Large,Operations,5,1,No,Low,Medium,13,High,Medium,Medium,Good,44,Yes,No,Yes,Often,Delhi
41,29,Female,Single,Analyst,5,51154,41,1.4,Partial,Low,Migraine,Large,HR,6.5,4,No,Low,Medium,13,Medium,Low,Medium,Poor,2,Yes,Yes,Yes,Sometimes,Kolkata
42,26,Male,Divorced,Designer,4,44287,46,1.7,Partial,Medium,None,Small,HR,5,5,No,Low,Medium,14,Medium,High,Low,Poor,13,No,Yes,No,Rarely,Bangalore
43,42,Other,Single,Manager,3.2,253829,57,1.4,No,Low,None,Large,Marketing,5,5,No,Medium,Medium,11,Low,High,Medium,Good,9,Yes,No,No,Often,Hyderabad
44,32,Male,Single,Manager,2.4,280178,50,1.7,Yes,Low,None,Large,HR,5,5,Yes,High,High,19,High,Low,Medium,Good,18,Yes,No,Yes,Often,Mumbai
45,32,Other,Divorced,Manager,9.3,249243,57,1.2,Partial,Low,Migraine,Large,Engineering,5,4,No,Low,Medium,13,High,Medium,Low,Average,36,No,Yes,No,Often,Kolkata
46,25,Female,Single,Designer,2.2,51985,48,1.3,Partial,Low,Migraine,Medium,Engineering,6.2,5,No,Medium,Medium,14,High,Medium,High,Excellent,44,Yes,Yes,Yes,Rarely,Pune
47,28,Female,Married,Analyst,2.9,48069,45,2.1,Partial,Medium,Migraine,Medium,Operations,5.2,5,No,Low,High,16,High,Low,Low,Average,43,No,No,No,Sometimes,Mumbai
48,20,Other,Married,Intern,0.1,16045,33,2.2,Partial,Medium,None,Medium,Marketing,6,5,Yes,Low,High,14,High,High,Medium,Excellent,5,No,Yes,Yes,Rarely,Bangalore
49,35,Other,Divorced,Analyst,11.9,59674,42,0.9,No,High,Arthritis,Medium,Engineering,5.5,3,No,Medium,Medium,19,High,Low,High,Good,6,No,No,No,Sometimes,Kolkata
50,44,Male,Single,CEO,22.2,505316,68,1.4,Partial,High,Diabetes,Medium,Engineering,5,1,No,High,Medium,6,High,Medium,High,Average,42,Yes,No,No,Often,Pune
51,27,Male,Divorced,Designer,3.7,47981,43,2.8,Yes,Low,Migraine,Large,Operations,5.2,5,No,Medium,Medium,11,High,Low,High,Average,6,No,No,Yes,Rarely,Mumbai
52,40,Other,Single,Manager,5.8,242024,50,0.9,Partial,Medium,Back Pain,Medium,Operations,5,4,No,High,High,19,Low,Medium,Low,Average,28,Yes,Yes,No,Often,Hyderabad
53,33,Male,Divorced,Designer,12.2,50768,45,1.7,Partial,High,Diabetes,Medium,Engineering,5,3,No,High,High,19,Medium,High,High,Excellent,16,Yes,No,No,Rarely,Delhi
54,32,Other,Divorced,Manager,11.1,234150,54,1.4,No,High,Back Pain,Small,Engineering,5,3,No,Medium,High,7,Low,Medium,High,Good,22,No,No,Yes,Often,Pune
55,24,Other,Divorced,Intern,1.5,15412,25,2.1,Yes,Medium,Migraine,Small,Marketing,6,5,Yes,Low,High,9,High,Medium,Medium,Poor,23,Yes,No,Yes,Rarely,Bangalore
56,30,Male,Divorced,Manager,2.7,287252,58,2.7,Partial,Medium,Migraine,Large,Engineering,5,5,No,Low,High,11,High,Medium,High,Poor,49,Yes,No,Yes,Often,Mumbai
57,27,Female,Divorced,Analyst,1.9,57008,44,3,Partial,Medium,None,Large,HR,5,5,Yes,High,High,9,Medium,Low,Low,Good,36,Yes,Yes,No,Sometimes,Bangalore
58,42,Male,Married,CEO,17.2,523811,64,0.5,No,High,Arthritis,Medium,Marketing,5,2,Yes,High,High,16,Low,High,High,Excellent,35,No,No,No,Often,Kolkata
59,30,Male,Divorced,Designer,6.9,43396,44,2.3,Yes,Low,None,Small,Operations,5,4,Yes,Medium,Medium,12,Low,Low,Low,Poor,41,No,Yes,No,Rarely,Bangalore
60,29,Female,Single,Designer,6.8,41870,50,1.4,No,Low,None,Small,HR,6.5,4,Yes,Medium,Medium,17,Medium,High,High,Excellent,27,Yes,No,No,Rarely,Kolkata
61,21,Male,Married,Intern,0.5,17826,32,1.1,No,Low,None,Large,Marketing,7.2,5,No,Medium,High,11,High,Medium,Medium,Good,4,No,Yes,No,Rarely,Pune
62,23,Male,Married,Intern,2.7,19036,33,1,No,Medium,Migraine,Small,Marketing,6.5,3,Yes,Medium,Medium,12,High,Medium,Low,Good,41,Yes,No,Yes,Rarely,Hyderabad
63,45,Female,Married,Manager,10.6,291712,57,2.3,Yes,High,Diabetes,Small,Engineering,5,3,Yes,Low,High,13,Low,Medium,Medium,Average,49,Yes,No,No,Often,Mumbai
64,22,Female,Single,Intern,1.4,18562,26,0.7,No,Medium,None,Large,HR,7.5,3,No,Low,Medium,8,High,Medium,Low,Excellent,20,Yes,Yes,No,Rarely,Kolkata
65,24,Female,Married,Intern,1.9,15005,30,0.9,Partial,Low,None,Medium,Marketing,6.5,4,Yes,High,High,20,Low,Medium,Medium,Poor,9,Yes,No,No,Rarely,Hyderabad
66,31,Female,Divorced,Manager,6.1,223125,57,2.4,Yes,Medium,None,Small,HR,5,4,No,Low,Medium,8,High,Medium,High,Poor,4,Yes,Yes,Yes,Often,Mumbai
67,23,Other,Divorced,Developer,0.5,108214,46,0.6,Partial,Low,Migraine,Small,HR,5.5,5,Yes,Medium,Medium,7,Low,High,Medium,Excellent,47,No,Yes,Yes,Sometimes,Hyderabad
68,32,Male,Married,Analyst,4.3,56990,40,1,No,Low,Migraine,Medium,Engineering,5,5,Yes,Medium,Medium,12,Medium,High,Low,Good,38,Yes,No,No,Sometimes,Hyderabad
69,57,Female,Divorced,CEO,24.6,582138,69,2.3,Partial,High,Arthritis,Large,HR,5,1,No,Medium,Medium,15,High,High,Low,Poor,21,Yes,Yes,No,Often,Delhi
70,22,Other,Single,Intern,1.2,19835,28,0.6,Partial,Low,None,Large,Operations,6.5,5,No,High,High,14,Medium,Medium,High,Excellent,37,No,No,No,Rarely,Hyderabad
71,23,Male,Divorced,Developer,2.7,93691,46,0.8,No,Medium,Migraine,Medium,Marketing,6.2,5,No,Low,Medium,5,High,Medium,Medium,Poor,50,No,No,No,Sometimes,Pune
72,32,Male,Married,Designer,8.8,44600,48,2.1,Yes,Low,None,Small,Engineering,5,4,Yes,High,Medium,14,Medium,Low,Low,Excellent,40,No,Yes,Yes,Rarely,Delhi
73,37,Male,Married,Manager,9.5,231079,55,1.5,Yes,Medium,None,Small,HR,5,4,No,High,Medium,9,Medium,Low,Low,Good,13,Yes,No,No,Often,Mumbai
74,35,Other,Divorced,Analyst,2.8,49825,42,2.7,Partial,Medium,None,Medium,Operations,5,5,Yes,Low,High,7,High,Low,High,Good,4,Yes,No,Yes,Sometimes,Delhi
75,29,Male,Divorced,Analyst,7.6,56538,43,1.3,Partial,Low,None,Large,HR,6.5,4,No,Medium,High,10,Low,Medium,Medium,Average,36,No,Yes,No,Sometimes,Kolkata
76,33,Female,Single,Analyst,3.6,58123,44,1.7,Yes,Low,Migraine,Medium,HR,5,5,No,Low,High,10,Low,Medium,High,Good,10,Yes,No,No,Sometimes,Bangalore
77,26,Female,Divorced,Developer,0.8,91421,40,2.4,Yes,Low,None,Large,Engineering,5,5,Yes,Medium,Medium,7,Medium,Low,Low,Average,10,Yes,Yes,No,Sometimes,Bangalore
78,22,Other,Married,Intern,1.5,17752,27,1.4,Partial,Low,Migraine,Medium,Engineering,6.5,3,No,Medium,Medium,15,Medium,Medium,Medium,Poor,2,No,Yes,No,Rarely,Hyderabad
79,49,Female,Married,CEO,13.7,578051,61,1.5,Yes,High,Back Pain,Large,Marketing,5,3,No,Low,High,14,Medium,Medium,Low,Average,37,Yes,Yes,No,Often,Bangalore
80,30,Male,Single,Developer,4.2,82482,40,1.5,Yes,Medium,Migraine,Medium,HR,5,5,No,High,High,7,Low,High,Medium,Average,38,No,No,No,Sometimes,Mumbai
81,29,Other,Single,Developer,7.1,95753,48,2.9,Yes,Low,None,Medium,HR,5,4,Yes,Low,High,11,High,Low,Medium,Excellent,32,No,No,Yes,Sometimes,Bangalore
82,27,Male,Single,Developer,2,104591,46,0.9,Partial,Medium,Migraine,Small,HR,5.5,5,Yes,Medium,Medium,8,Low,Medium,Low,Average,36,Yes,Yes,No,Sometimes,Hyderabad
83,52,Other,Divorced,CEO,11.8,559334,69,2.8,Partial,High,Back Pain,Large,Operations,5,3,Yes,Medium,Medium,19,Low,Low,Low,Good,9,No,Yes,No,Often,Mumbai
84,60,Other,Single,CEO,15.6,595763,60,2.5,Partial,High,Diabetes,Large,Marketing,5,2,No,Low,Medium,5,Medium,Low,High,Good,21,Yes,No,Yes,Often,Mumbai
85,41,Female,Divorced,Manager,9.1,254906,50,2.6,Yes,Medium,Diabetes,Large,Operations,5,4,Yes,High,High,12,High,Low,Medium,Excellent,49,Yes,No,No,Often,Mumbai
86,60,Female,Single,CEO,11.2,573382,60,1.4,Partial,High,Hypertension,Medium,Operations,5,3,No,Low,Medium,12,High,Low,High,Good,9,Yes,No,Yes,Often,Hyderabad
87,22,Male,Divorced,Developer,0.8,114021,44,1.8,Yes,Medium,None,Large,HR,5,5,No,Medium,Medium,14,Low,Low,High,Poor,43,Yes,Yes,Yes,Sometimes,Bangalore
88,24,Female,Single,Intern,2.4,19297,26,2.7,Yes,Low,None,Large,HR,6,5,No,Low,Medium,15,Low,Medium,Low,Excellent,22,Yes,No,No,Rarely,Bangalore
89,32,Other,Single,Analyst,8.2,55300,43,2.2,Yes,Low,Migraine,Small,Engineering,5,4,Yes,Low,Medium,8,Medium,Low,Low,Good,25,Yes,Yes,No,Sometimes,Bangalore
90,49,Male,Married,CEO,11,568975,64,0.7,No,High,Hypertension,Small,Operations,5,3,Yes,Low,Medium,14,Low,Low,Low,Excellent,19,Yes,Yes,Yes,Often,Pune
91,25,Male,Married,Analyst,0.9,52393,41,1.8,Partial,Low,None,Medium,HR,5.2,5,No,High,Medium,13,Medium,Low,Medium,Excellent,18,Yes,Yes,No,Sometimes,Mumbai
92,30,Male,Divorced,Designer,10,43619,40,1,Partial,Low,None,Large,Operations,5.2,3,Yes,Medium,Medium,13,High,Medium,High,Good,28,No,No,No,Rarely,Pune
93,25,Female,Single,Intern,4.7,19458,33,1.4,Partial,Low,None,Medium,Operations,7.5,3,No,Medium,Medium,6,Medium,Low,Medium,Excellent,25,No,No,Yes,Rarely,Kolkata
94,44,Female,Single,Manager,8.3,227839,52,3,Yes,Medium,None,Large,HR,5,4,Yes,Medium,High,18,Medium,Medium,High,Average,9,No,Yes,Yes,Often,Delhi
95,44,Other,Single,CEO,7.9,584528,68,1.5,Yes,Low,Diabetes,Medium,Operations,5,4,Yes,High,High,5,Medium,Medium,Medium,Poor,7,Yes,No,Yes,Often,Mumbai
96,51,Other,Married,CEO,25.7,529957,61,2.5,Yes,High,Diabetes,Medium,HR,5,1,Yes,Medium,High,5,High,Medium,Low,Poor,23,Yes,Yes,Yes,Often,Mumbai
97,50,Male,Divorced,CEO,10.7,517637,69,1.4,Partial,High,Back Pain,Medium,Engineering,5,3,No,Medium,High,14,Low,High,High,Excellent,2,No,No,Yes,Often,Kolkata
98,25,Other,Single,Designer,2.9,42988,41,1.7,Yes,Medium,Migraine,Large,Engineering,5.7,5,Yes,Medium,High,13,High,Low,Medium,Poor,7,Yes,No,Yes,Rarely,Delhi
99,21,Other,Divorced,Intern,0.6,17592,29,0.7,Partial,Medium,Migraine,Small,Engineering,7.5,5,Yes,Low,High,16,High,Medium,Low,Average,35,Yes,No,Yes,Rarely,Kolkata
100,57,Male,Divorced,CEO,3.7,516721,66,0.9,No,Medium,None,Medium,Marketing,5,5,No,Medium,Medium,14,Medium,High,High,Poor,8,Yes,Yes,Yes,Often,Hyderabad
101,35,Other,Married,Designer,2.6,45335,46,2,Partial,Medium,None,Medium,Engineering,5,5,No,Medium,Medium,19,Low,High,High,Excellent,13,Yes,No,No,Rarely,Mumbai
102,35,Other,Married,Analyst,1.3,51100,45,0.5,No,Medium,None,Large,Operations,5.2,5,No,Low,High,19,High,Medium,Low,Excellent,47,Yes,No,Yes,Sometimes,Pune
103,36,Other,Single,Manager,10,223109,57,1.8,Yes,Low,Migraine,Small,HR,5,3,No,Medium,Medium,7,High,Low,Low,Excellent,13,No,Yes,Yes,Often,Mumbai
104,45,Other,Married,CEO,20.6,542487,61,0.5,No,High,Back Pain,Small,Engineering,5,1,No,Medium,Medium,20,Medium,Medium,Low,Poor,32,No,No,No,Often,Pune
105,22,Female,Married,Developer,1.6,83305,45,1.3,Partial,Medium,Migraine,Small,Operations,5.5,5,No,Low,High,12,Low,High,Low,Excellent,37,Yes,No,No,Sometimes,Hyderabad
106,34,Male,Single,Designer,9.9,47558,49,1.5,Partial,Low,None,Medium,HR,5.5,4,No,Medium,Medium,19,High,Low,Low,Excellent,20,No,Yes,Yes,Rarely,Kolkata
107,22,Other,Single,Developer,0.8,91617,50,0.5,No,Low,Migraine,Small,Marketing,6.2,5,No,Low,Medium,20,Low,Medium,High,Poor,42,Yes,No,No,Sometimes,Pune
108,22,Other,Married,Intern,1.4,17199,29,1.3,Partial,Medium,None,Small,Marketing,7.5,3,No,High,High,16,Medium,Medium,Low,Poor,20,No,No,Yes,Rarely,Kolkata
109,60,Male,Divorced,CEO,18.6,561878,68,2.2,Partial,High,Arthritis,Medium,Engineering,5,2,Yes,Medium,Medium,19,Medium,High,Medium,Average,23,No,No,Yes,Often,Mumbai
110,33,Female,Single,Designer,2.3,43335,46,1.5,No,Low,Migraine,Large,Operations,5.2,5,Yes,High,High,16,High,High,Low,Good,24,No,No,Yes,Rarely,Pune
111,22,Female,Married,Developer,1,102983,46,1.2,No,Low,Migraine,Large,HR,6.2,5,Yes,Medium,Medium,16,Medium,Low,Medium,Good,24,No,Yes,Yes,Sometimes,Pune
112,22,Other,Single,Intern,0.9,19569,27,2.4,Yes,Low,None,Large,Marketing,6.2,3,No,Medium,High,17,High,High,Low,Excellent,40,No,Yes,Yes,Rarely,Mumbai
113,25,Other,Divorced,Intern,4.5,19041,35,2.3,Partial,Medium,Migraine,Large,Marketing,6,5,Yes,High,Medium,7,Medium,Medium,Medium,Average,14,Yes,Yes,Yes,Rarely,Bangalore
114,35,Other,Married,Analyst,3.6,56683,45,2.9,Yes,Low,None,Small,Engineering,5,5,No,High,Medium,20,High,High,Low,Poor,19,Yes,No,No,Sometimes,Bangalore
115,22,Female,Divorced,Intern,2,17344,26,0.6,No,Medium,None,Small,Operations,7.5,5,No,Low,Medium,19,Low,Medium,Low,Average,14,Yes,No,No,Rarely,Kolkata
116,28,Male,Divorced,Developer,5.2,81850,40,2.2,Yes,Low,None,Small,Engineering,5.7,4,Yes,Medium,Medium,17,High,High,Medium,Poor,33,No,Yes,Yes,Sometimes,Delhi
117,26,Female,Divorced,Developer,5,85639,40,2.7,Yes,Low,Migraine,Medium,HR,5.7,4,Yes,Medium,High,6,High,Low,Low,Excellent,44,No,No,No,Sometimes,Delhi
118,27,Other,Single,Designer,6.7,43030,42,2.1,Yes,Medium,None,Large,HR,5.7,4,No,Medium,High,9,Medium,High,Low,Excellent,22,No,Yes,Yes,Rarely,Delhi
119,34,Male,Divorced,Analyst,4.6,59250,45,1.7,Yes,Low,None,Small,Operations,5,5,No,Low,Medium,15,High,High,Medium,Poor,37,No,No,No,Sometimes,Mumbai
120,29,Female,Divorced,Developer,3.6,116690,43,2,Yes,Medium,Migraine,Medium,Marketing,5.7,5,Yes,Low,High,7,Medium,Low,Medium,Average,38,Yes,No,Yes,Sometimes,Delhi
121,35,Male,Divorced,Designer,5.1,43004,41,2.2,Partial,Medium,None,Large,Engineering,5,4,No,High,Medium,8,Low,Medium,Medium,Average,20,Yes,Yes,No,Rarely,Mumbai
122,37,Male,Divorced,Manager,1.4,239603,59,0.7,Partial,Low,Migraine,Medium,Operations,5,5,Yes,High,Medium,17,High,High,Medium,Excellent,6,No,No,No,Often,Pune
123,22,Male,Married,Intern,0.8,17179,33,2.9,Partial,Low,None,Small,Operations,6.7,3,No,Medium,Medium,10,Low,Low,Low,Poor,32,Yes,Yes,No,Rarely,Delhi
124,31,Female,Divorced,Manager,10.9,271499,58,0.9,Partial,High,Arthritis,Medium,Marketing,5,3,Yes,High,High,8,High,Low,Medium,Poor,10,Yes,No,Yes,Often,Pune
125,41,Female,Divorced,Manager,6.9,228357,50,0.9,No,Low,Hypertension,Small,HR,5,4,Yes,High,Medium,8,Low,Medium,Low,Good,5,No,Yes,No,Often,Hyderabad
126,34,Female,Married,Manager,0.7,261550,56,0.6,Partial,Medium,Migraine,Large,Operations,5,5,Yes,High,Medium,20,Medium,Low,Medium,Average,16,No,No,No,Often,Hyderabad
127,33,Male,Divorced,Analyst,11,50766,45,1,No,High,Back Pain,Large,Marketing,5.5,3,No,Medium,Medium,6,Low,High,Medium,Good,4,No,Yes,No,Sometimes,Kolkata
128,25,Male,Married,Intern,3.8,17671,30,0.5,No,Medium,None,Large,Marketing,7.2,4,No,Medium,Medium,19,High,Medium,Medium,Average,41,Yes,Yes,No,Rarely,Pune
129,24,Female,Married,Developer,0.5,99370,48,1.2,No,Medium,None,Small,HR,5.5,5,No,High,High,14,Medium,High,Low,Excellent,2,No,Yes,Yes,Sometimes,Hyderabad
130,24,Male,Divorced,Intern,3.9,16408,32,2.3,Yes,Medium,None,Medium,HR,6.2,4,Yes,High,High,7,Medium,High,High,Good,34,No,No,Yes,Rarely,Mumbai
131,28,Other,Divorced,Analyst,5.7,53418,40,2,Yes,Low,Migraine,Medium,Marketing,5.7,4,Yes,Low,High,7,Low,High,High,Poor,3,No,Yes,No,Sometimes,Delhi
132,20,Male,Single,Intern,0.4,18685,26,2.8,Yes,Low,Migraine,Medium,HR,6.2,4,Yes,Low,Medium,12,Low,High,Medium,Poor,21,No,Yes,No,Rarely,Mumbai
133,36,Other,Married,Manager,15,223944,58,2,Yes,High,Hypertension,Medium,Engineering,5,2,Yes,Low,High,11,Low,Low,High,Average,34,Yes,No,No,Often,Mumbai
134,35,Female,Divorced,Designer,9.3,51217,46,1.3,Partial,Low,Migraine,Large,Operations,5.2,4,Yes,High,High,8,High,High,Low,Good,46,Yes,Yes,Yes,Rarely,Pune
135,54,Male,Divorced,CEO,17.6,585911,63,0.7,Partial,High,Hypertension,Small,HR,5,2,No,High,High,5,Medium,Medium,Medium,Excellent,38,No,No,No,Often,Hyderabad
136,45,Other,Married,Manager,5.6,255504,57,1.3,Partial,Medium,Diabetes,Large,Engineering,5,4,No,Low,High,6,High,High,Low,Good,11,Yes,No,Yes,Often,Hyderabad
137,50,Female,Divorced,CEO,9.6,525973,64,2.2,Partial,Low,Back Pain,Large,Engineering,5,4,No,Low,Medium,6,High,High,Medium,Poor,17,Yes,Yes,No,Often,Delhi
138,21,Other,Married,Intern,0.5,18689,31,1.9,Yes,Medium,None,Medium,Engineering,6.2,5,Yes,Low,High,6,Medium,Low,Low,Good,29,Yes,No,No,Rarely,Mumbai
139,22,Male,Married,Intern,1.1,19432,34,0.8,Partial,Medium,None,Small,Marketing,7.5,5,Yes,Medium,Medium,18,Medium,Low,High,Good,4,Yes,Yes,Yes,Rarely,Kolkata
140,45,Male,Divorced,Manager,6.1,229803,51,1,Partial,Medium,Back Pain,Small,Operations,5,4,No,High,High,7,Medium,High,Medium,Excellent,21,Yes,Yes,No,Often,Pune
